trade_id,market_id,question,outcome_label,entry_time,exit_time,entry_price,exit_price,pre_crash_high,drop_pct,size_usd,shares,hold_hours,pnl_usd,is_profitable,exit_reason,entry_hour_utc,entry_dow,recovered_to_pct_of_high
0,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-03-28T16:06:29+00:00,2026-03-28T16:21:30.406887,0.0785,0.1015,0.1115,29.5964,5.0,63.6943,0.25,1.465,1,RECOVERY,16,5,91.0314
1,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,Yes,2026-03-28T23:21:52+00:00,2026-03-29T01:06:57.887633,0.235,0.27,0.29,18.9655,5.0,21.2766,1.75,0.7447,1,RECOVERY,23,5,93.1034
2,553865,Will the Denver Nuggets win the 2026 NBA Finals?,Yes,2026-03-28T21:36:47+00:00,2026-03-29T03:37:06.670770,0.085,0.095,0.105,19.0476,5.0,58.8235,6.01,0.5882,1,RECOVERY,21,5,90.4762
3,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-03-28T16:51:31+00:00,2026-03-29T05:22:12.051900,0.093,0.1005,0.1115,16.5919,5.0,53.7634,12.51,0.4032,1,RECOVERY,16,5,90.1345
4,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-03-29T07:07:18+00:00,2026-03-29T07:22:19.544604,0.1755,0.2155,0.22,20.2273,5.0,28.49,0.25,1.1396,1,RECOVERY,7,6,97.9545
5,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-03-29T06:52:17+00:00,2026-03-29T09:07:24.765821,0.0665,0.093,0.1005,33.8308,5.0,75.188,2.25,1.9925,1,RECOVERY,6,6,92.5373
6,531202,BitBoy convicted?,Yes,2026-03-28T08:36:08+00:00,2026-03-29T23:08:00.964690,0.088,0.099,0.1075,18.1395,5.0,56.8182,38.53,0.625,1,RECOVERY,8,5,92.093
7,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-03-28T18:06:35+00:00,2026-03-29T23:53:03.318791,0.0955,0.11,0.115,16.9565,5.0,52.356,29.77,0.7592,1,RECOVERY,18,5,95.6522
8,531202,BitBoy convicted?,Yes,2026-03-29T23:38:02+00:00,2026-03-29T23:53:03.318863,0.0655,0.0995,0.099,33.8384,3.0,45.8015,0.25,1.5573,1,RECOVERY,23,6,100.5051
9,556062,MegaETH market cap (FDV) >$2B one day after launch?,Yes,2026-03-29T23:53:03+00:00,2026-03-30T05:38:24.425393,0.105,0.115,0.125,16.0,3.0,28.5714,5.76,0.2857,1,RECOVERY,23,6,92.0
10,553851,Will the Buffalo Sabres win the 2026 NHL Stanley Cup?,Yes,2026-03-30T03:53:17+00:00,2026-03-30T08:38:34.884789,0.0525,0.056,0.062,15.3226,3.0,57.1429,4.75,0.2,1,RECOVERY,3,0,90.3226
11,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-03-30T10:08:40+00:00,2026-03-30T12:08:48.186209,0.0775,0.0995,0.1095,29.2237,3.0,38.7097,2.0,0.8516,1,RECOVERY,10,0,90.8676
12,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-03-30T17:27:33+00:00,2026-03-30T17:57:36.350650,0.1165,0.1345,0.1385,15.8845,2.0,17.1674,0.5,0.309,1,RECOVERY,17,0,97.1119
13,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-03-30T12:23:49+00:00,2026-03-30T20:12:44.354972,0.076,0.092,0.1,24.0,3.0,39.4737,7.82,0.6316,1,RECOVERY,12,0,92.0
14,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-03-28T23:06:51+00:00,2026-03-30T23:12:54.717902,0.2125,0.1485,0.2795,23.9714,5.0,23.5294,48.1,-1.5059,0,TIMEOUT_48H,23,5,53.1306
15,531202,BitBoy convicted?,Yes,2026-03-30T04:38:20+00:00,2026-03-30T23:12:54.717984,0.1125,0.203,0.1495,24.7492,3.0,26.6667,18.58,2.4133,1,RECOVERY,4,0,135.786
16,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-03-30T23:12:54+00:00,2026-03-30T23:27:55.556656,0.1485,0.1725,0.1835,19.0736,2.0,13.468,0.25,0.3232,1,RECOVERY,23,0,94.0054
17,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-03-30T23:57:56+00:00,2026-03-31T00:12:57.583840,0.1485,0.1725,0.1835,19.0736,2.0,13.468,0.25,0.3232,1,RECOVERY,23,0,94.0054
18,531202,BitBoy convicted?,Yes,2026-03-30T23:57:56+00:00,2026-03-31T02:01:20.098161,0.2415,0.2715,0.2845,15.1142,2.0,8.2816,2.06,0.2484,1,RECOVERY,23,0,95.4306
